App,cycle,avgbw,pcuUtil,mcuUtil,scuUtil,ocuUtil,mcUtil,ocuUtil,mcUtil,slinkUtil,vlinkUtil,clinkUtil,totalRegUtil,totalFUUtil,totalSBufUtil,totalVBufUtil
GEMM_Blocked__tileSize_16_i_tileSize_256_loop_jj_2_loop_ii_1_loop_kk_2_loop_i_1_loop_k_2,12337205,2.975,1.0,0.563,0.294,0.216,0.294,0.216,0.294,0.277,0.0,0.0,0.016,0.09,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_2,5572523,6.586,0.297,0.156,0.088,0.072,0.088,0.072,0.088,0.066,0.0,0.0,0.017,0.094,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_2,3408851,10.766,0.422,0.281,0.118,0.092,0.118,0.092,0.118,0.087,0.0,0.0,0.016,0.085,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_1,5271241,6.962,0.469,0.219,0.147,0.111,0.147,0.111,0.147,0.11,0.0,0.0,0.015,0.084,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_2,3638520,10.087,0.5,0.281,0.147,0.111,0.147,0.111,0.147,0.119,0.0,0.0,0.016,0.09,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_2_loop_k_1,3368261,10.896,0.688,0.406,0.206,0.15,0.206,0.15,0.206,0.154,0.0,0.0,0.014,0.073,0.274,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_1_loop_k_1,4864954,7.544,0.563,0.25,0.176,0.15,0.176,0.15,0.176,0.138,0.0,0.0,0.017,0.089,0.282,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_1_loop_k_2,3331849,11.015,0.594,0.313,0.176,0.15,0.176,0.15,0.176,0.155,0.0,0.0,0.017,0.094,0.285,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_1_loop_i_2_loop_k_1,2939744,12.484,0.781,0.438,0.235,0.19,0.235,0.19,0.235,0.213,0.0,0.0,0.015,0.078,0.275,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_2_loop_i_1_loop_k_1,3336106,11.001,0.938,0.438,0.294,0.229,0.294,0.229,0.294,0.262,0.0,0.0,0.015,0.084,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_1_loop_ii_2_loop_kk_2_loop_i_1_loop_k_2,2518525,14.572,1.0,0.563,0.294,0.229,0.294,0.229,0.294,0.274,0.0,0.0,0.016,0.09,0.285,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_1_loop_k_1,5120110,7.168,0.563,0.25,0.176,0.137,0.176,0.137,0.176,0.133,0.0,0.0,0.017,0.089,0.283,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_2_loop_k_1,3243147,11.316,0.781,0.438,0.235,0.176,0.235,0.176,0.235,0.212,0.0,0.0,0.015,0.078,0.276,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_2_loop_ii_1_loop_kk_1_loop_i_2_loop_k_2,2465940,14.883,0.844,0.563,0.235,0.176,0.235,0.176,0.235,0.243,0.0,0.0,0.016,0.085,0.282,0.0
GEMM_Blocked__tileSize_256_i_tileSize_16_loop_jj_2_loop_ii_1_loop_kk_2_loop_i_1_loop_k_1,3314015,11.074,0.938,0.438,0.294,0.216,0.294,0.216,0.294,0.254,0.0,0.0,0.015,0.084,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_1,7766298,0.675,0.281,0.125,0.088,0.072,0.088,0.072,0.088,0.056,0.0,0.0,0.017,0.089,0.282,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_2,4510843,1.162,0.297,0.156,0.088,0.072,0.088,0.072,0.088,0.048,0.0,0.0,0.017,0.094,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_1,3947718,1.328,0.391,0.219,0.118,0.092,0.118,0.092,0.118,0.092,0.0,0.0,0.015,0.078,0.275,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_2,2319805,2.26,0.422,0.281,0.118,0.092,0.118,0.092,0.118,0.106,0.0,0.0,0.016,0.085,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_1,3968536,1.321,0.469,0.219,0.147,0.111,0.147,0.111,0.147,0.101,0.0,0.0,0.015,0.084,0.281,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_1_loop_k_2,2333046,2.247,0.5,0.281,0.147,0.111,0.147,0.111,0.147,0.118,0.0,0.0,0.016,0.09,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_2_loop_i_2_loop_k_1,2056265,2.55,0.688,0.406,0.206,0.15,0.206,0.15,0.206,0.155,0.0,0.0,0.014,0.073,0.274,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_3,3096349,1.693,0.313,0.188,0.088,0.072,0.088,0.072,0.088,0.057,0.0,0.0,0.018,0.098,0.29,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_1_loop_k_4,2353981,2.227,0.328,0.219,0.088,0.072,0.088,0.072,0.088,0.058,0.0,0.0,0.019,0.101,0.292,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_2_loop_k_3,1612503,3.251,0.453,0.344,0.118,0.092,0.118,0.092,0.118,0.116,0.0,0.0,0.017,0.092,0.286,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_3_loop_k_1,2693928,1.946,0.5,0.313,0.147,0.111,0.147,0.111,0.147,0.098,0.0,0.0,0.015,0.072,0.272,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_3_loop_k_3,1132475,4.63,0.594,0.5,0.147,0.111,0.147,0.111,0.147,0.165,0.0,0.0,0.017,0.089,0.285,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_3_loop_k_4,884363,5.928,0.641,0.594,0.147,0.111,0.147,0.111,0.147,0.172,0.0,0.0,0.018,0.094,0.289,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_4_loop_k_1,2030451,2.582,0.609,0.406,0.176,0.131,0.176,0.131,0.176,0.154,0.0,0.0,0.014,0.068,0.269,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_4_loop_k_2,1226891,4.273,0.672,0.531,0.176,0.131,0.176,0.131,0.176,0.174,0.0,0.0,0.015,0.079,0.277,0.0
GEMM_Blocked__tileSize_256_i_tileSize_256_loop_jj_1_loop_ii_1_loop_kk_1_loop_i_4_loop_k_3,875881,5.986,0.734,0.656,0.176,0.131,0.176,0.131,0.176,0.206,0.0,0.0,0.017,0.087,0.284,0.0
